Timestamp [HH;MM;SS], X acc [m/s^2], Y acc [m/s^2], Z acc [m/s^2], T [C], Engine load [%], Coolant temp [C], Intake pressure [kPa], Engine speed [RPM], Vehicle speed [km/h], Intake air temp [C], Distance with MIL [km], MAF [g/s], Fuel pressure [kPa]
06;41;07, 0.471, -1.138, 9.849, 5.000, 0.30, 56, 250, 845, 7, 18, 0, 7, 235
06;41;09, -0.235, -0.235, 10.163, 4.000, 0.29, 56, 250, 854, 2, 18, 0, 8, 234
06;41;12, -0.275, -0.118, 10.163, 5.000, 0.32, 56, 250, 749, 0, 18, 0, 7, 222
06;41;14, -0.275, 0.157, 9.614, 7.000, 0.32, 57, 250, 746, 0, 18, 0, 7, 223
06;41;17, 0.000, 0.000, 10.163, 5.000, 0.31, 57, 250, 751, 0, 18, 0, 6, 223
06;41;19, -0.510, 0.275, 9.888, 5.000, 0.44, 57, 250, 1194, 0, 18, 0, 13, 362
06;41;21, -0.549, 0.392, 9.810, 6.000, 0.53, 57, 250, 996, 8, 19, 0, 14, 397
06;41;24, -1.099, 2.237, 10.752, 5.000, 0.69, 57, 250, 2443, 19, 19, 0, 25, 235
06;41;26, -0.785, -0.275, 9.457, 4.000, 0.84, 57, 250, 1035, 22, 19, 0, 11, 455
06;41;29, -0.392, 0.549, 10.634, 4.000, 0.85, 57, 250, 1169, 29, 19, 0, 15, 675
06;41;31, -0.432, 0.785, 10.791, 4.000, 0.78, 57, 250, 1455, 36, 19, 0, 20, 778
06;41;34, -0.275, 1.138, 11.105, 5.000, 0.18, 57, 250, 1775, 44, 18, 0, 12, 266
06;41;36, -1.413, 0.589, 8.005, 4.000, 0.82, 58, 250, 1341, 46, 18, 0, 17, 740
06;41;38, -0.039, 0.667, 9.143, 6.000, 0.71, 58, 250, 1492, 51, 18, 0, 18, 303
06;41;41, -0.824, 0.235, 9.064, 6.000, 0.40, 58, 250, 1489, 52, 18, 0, 19, 447
06;41;43, 0.118, 0.118, 10.006, 5.000, 0.40, 59, 250, 1528, 53, 18, 0, 18, 463
06;41;46, -0.078, -0.196, 9.378, 6.000, 0.00, 59, 250, 1510, 53, 18, 0, 16, 232
06;41;48, -0.118, -1.020, 8.829, 3.000, 0.00, 59, 250, 1332, 47, 18, 0, 15, 232
06;41;50, 0.549, -0.235, 10.438, 2.000, 0.00, 60, 250, 1209, 42, 18, 0, 13, 227
06;41;53, 2.197, -1.256, 9.535, 5.000, 0.11, 60, 250, 1009, 36, 18, 0, 9, 238
06;41;55, 0.196, -0.667, 10.477, 5.000, 0.26, 60, 250, 851, 29, 18, 0, 8, 231
06;41;58, 0.392, -0.824, 10.163, 5.000, 0.26, 60, 250, 851, 22, 18, 0, 8, 235
06;42;00, 0.549, -1.727, 9.614, 4.000, 0.28, 61, 250, 849, 9, 18, 0, 8, 235
06;42;02, -0.118, -0.432, 10.359, 5.000, 0.26, 61, 250, 853, 1, 18, 0, 8, 231
06;42;05, -0.196, 0.078, 10.045, 4.000, 0.31, 61, 250, 761, 0, 18, 0, 7, 229
06;42;07, -0.275, 0.196, 10.124, 3.000, 0.25, 61, 250, 808, 0, 18, 0, 7, 227
06;42;09, -1.609, 2.119, 10.281, 5.000, 0.77, 61, 250, 1055, 8, 18, 0, 20, 725
06;42;12, -0.118, -0.078, 10.242, 5.000, 0.26, 61, 250, 927, 19, 18, 0, 14, 365
06;42;14, -1.373, 1.766, 9.104, 5.000, 0.76, 61, 250, 1519, 24, 18, 0, 23, 808
06;42;16, 0.275, -0.314, 9.575, 3.000, 0.05, 61, 250, 1236, 33, 18, 0, 9, 270
06;42;18, -0.824, 0.824, 8.829, 4.000, 0.80, 61, 250, 1380, 34, 18, 0, 19, 762
06;42;21, -1.295, 1.020, 10.948, 5.000, 0.76, 62, 250, 1652, 41, 18, 0, 24, 850
06;42;23, -0.078, -0.510, 10.359, 4.000, 0.40, 62, 250, 1346, 45, 18, 0, 15, 561
06;42;25, -0.706, 0.863, 10.516, 4.000, 0.64, 62, 250, 1375, 48, 18, 0, 17, 525
06;42;28, -1.216, 0.196, 8.868, 5.000, 0.50, 62, 250, 1447, 50, 18, 0, 17, 436
06;42;30, 0.314, -0.196, 11.026, 5.000, 0.00, 62, 250, 1400, 49, 18, 0, 15, 234
06;42;32, 0.118, -0.196, 10.045, 4.000, 0.00, 63, 250, 1299, 46, 18, 0, 13, 233
06;42;35, -0.078, -0.353, 10.359, 4.000, 0.00, 63, 250, 1195, 42, 18, 0, 12, 234
06;42;37, 0.471, -0.746, 10.006, 4.000, 0.11, 63, 250, 1029, 37, 18, 0, 8, 235
06;42;39, 0.785, -1.570, 9.888, 5.000, 0.25, 64, 250, 850, 24, 18, 0, 8, 236
06;42;42, 0.549, -2.119, 9.771, 4.000, 0.25, 64, 250, 853, 8, 18, 0, 9, 233
06;42;44, -0.432, 0.667, 9.888, 4.000, 0.49, 64, 250, 909, 7, 18, 0, 13, 459
06;42;46, -0.078, -0.235, 10.202, 4.000, 0.00, 64, 250, 1582, 17, 18, 0, 10, 250
06;42;49, -0.863, 1.177, 10.085, 5.000, 0.84, 64, 250, 1187, 18, 18, 0, 16, 724
06;42;51, -1.020, 1.099, 10.556, 4.000, 0.79, 64, 250, 1813, 28, 18, 0, 29, 942
06;42;53, -0.196, 0.353, 9.771, 5.000, 0.27, 64, 250, 906, 36, 18, 0, 13, 337
06;42;56, -0.353, -0.118, 9.535, 4.000, 0.47, 64, 250, 1395, 35, 18, 0, 17, 481
06;42;58, -1.570, 0.903, 10.556, 4.000, 0.66, 65, 250, 1503, 38, 18, 0, 20, 713
06;43;00, 0.118, 0.353, 11.066, 3.000, 0.62, 65, 250, 1699, 43, 18, 0, 22, 215
06;43;03, -0.392, -0.275, 8.083, 4.000, 0.27, 65, 250, 1277, 43, 18, 0, 13, 434
06;43;05, -1.295, 0.628, 7.377, 4.000, 0.60, 65, 250, 1275, 44, 18, 0, 15, 479
06;43;07, 0.039, -0.039, 11.576, 4.000, 0.76, 65, 250, 1353, 47, 18, 0, 17, 673
06;43;10, -0.824, 0.981, 9.182, 4.000, 0.40, 66, 250, 1439, 51, 18, 0, 17, 248
06;43;12, -0.157, 0.510, 10.085, 4.000, 0.00, 66, 250, 1370, 48, 18, 0, 14, 238
06;43;14, -0.353, -0.510, 9.339, 5.000, 0.00, 66, 250, 1269, 45, 18, 0, 13, 248
06;43;17, -0.157, 0.118, 8.986, 3.000, 0.18, 66, 250, 1190, 42, 18, 0, 12, 294
06;43;19, 0.118, -0.392, 8.751, 6.000, 0.00, 67, 250, 1114, 39, 18, 0, 11, 235
06;43;21, -0.235, -0.471, 9.378, 5.000, 0.10, 67, 250, 1037, 36, 18, 0, 10, 236
06;43;24, 0.118, -0.078, 9.535, 3.000, 0.29, 67, 250, 844, 32, 18, 0, 8, 234
06;43;26, -1.923, -2.040, 9.182, 4.000, 0.26, 67, 250, 851, 24, 18, 0, 7, 242
06;43;28, -1.805, -1.099, 9.025, 3.000, 0.25, 67, 250, 877, 21, 18, 0, 8, 234
06;43;31, 0.039, 1.491, 9.771, 4.000, 0.82, 67, 250, 927, 23, 18, 0, 10, 471
06;43;33, -0.549, 1.256, 8.594, 3.000, 0.83, 67, 250, 1125, 28, 18, 0, 14, 639
06;43;35, -0.078, 0.903, 18.207, 4.000, 0.39, 67, 250, 1304, 33, 18, 0, 14, 249
06;43;37, 0.746, 0.118, 6.553, 6.000, 0.00, 67, 250, 1162, 30, 18, 0, 12, 238
06;43;40, 0.785, -0.824, 9.810, 4.000, 0.14, 67, 250, 988, 25, 18, 0, 10, 255
